"Country","Response_measure","date_start","date_end"
"Slovenia","MasksMandatory",2020-03-30,2020-05-31
"Slovenia","MasksMandatory",2020-06-25,2020-09-18
"Slovenia","MasksMandatoryPartial",2020-06-01,2020-06-24
"Slovenia","MasksMandatoryPartial",2020-09-19,NA
"Slovenia","MassGatherAll",2020-03-07,2020-07-08
"Slovenia","MassGatherAll",2020-10-17,NA
"Slovenia","StayHomeOrder",2020-03-19,2020-05-04
"Slovenia","StayHomeOrderPartial",2020-10-20,NA
"Slovenia","TeleworkingClosures",2020-03-04,NA
"Spain","ClosDaycare",2020-03-12,2020-08-27
"Spain","ClosHigh",2020-03-12,2020-08-27
"Spain","ClosPrim",2020-03-12,2020-08-27
"Spain","ClosPubAnyPartial",2020-03-14,NA
"Spain","ClosSec",2020-03-12,2020-08-27
"Spain","MasksMandatory",2020-05-04,NA
"Spain","MasksVoluntary",2020-03-13,2020-05-03
"Spain","MassGather50Partial",2020-10-01,NA
"Spain","MassGatherAll",2020-03-14,2020-06-21
"Spain","MassGatherAllPartial",2020-10-01,NA
"Spain","StayHomeGen",2020-03-09,2020-03-13
"Spain","StayHomeOrder",2020-03-14,2020-05-03
"Spain","StayHomeOrderPartial",2020-05-04,2020-05-11
"Spain","StayHomeOrderPartial",2020-10-25,NA
"Spain","StayHomeRiskG",2020-03-12,NA
"Spain","TeleworkingClosures",2020-03-09,2020-04-12
"Spain","TeleworkingClosuresPartial",2020-04-13,NA
"Sweden","ClosHigh",2020-03-18,2020-06-15
"Sweden","ClosPubAny",2020-07-01,NA
"Sweden","ClosSec",2020-03-18,2020-06-15
"Sweden","MassGatherAll",2020-03-12,NA
"Sweden","StayHomeRiskG",2020-04-01,2020-10-22
"Sweden","TeleworkingClosures",2020-03-16,NA
"United Kingdom","ClosDaycare",2020-03-23,2020-05-31
"United Kingdom","ClosDaycarePartial",2020-06-01,2020-09-01
"United Kingdom","ClosPrim",2020-03-23,2020-05-31
"United Kingdom","ClosPrimPartial",2020-06-01,2020-09-01
"United Kingdom","ClosPubAny",2020-03-16,2020-03-30
"United Kingdom","ClosPubAnyPartial",2020-03-31,NA
"United Kingdom","ClosSec",2020-03-23,2020-06-14
"United Kingdom","ClosSecPartial",2020-06-15,2020-09-01
"United Kingdom","MasksMandatory",2020-07-27,NA
"United Kingdom","MasksVoluntary",2020-06-09,2020-07-26
"United Kingdom","MassGatherAll",2020-05-28,NA
"United Kingdom","StayHomeGen",2020-03-16,2020-03-23
"United Kingdom","StayHomeOrder",2020-03-24,2020-05-09
"United Kingdom","StayHomeOrder",2020-11-05,NA
"United Kingdom","StayHomeOrderPartial",2020-05-10,2020-07-04
"United Kingdom","StayHomeRiskG",2020-03-16,2020-07-05
"United Kingdom","StayHomeRiskG",2020-11-05,NA
"United Kingdom","StayHomeRiskGPartial",2020-07-06,2020-08-01
"United Kingdom","TeleworkingClosures",2020-03-16,NA
